"","fmin","fminB","CFI","RMSEA","FC.Size","PercentMissing","PatternNumber","NumMissVar","Strength"
"46",1e-04,4.9605,1,0,1,"50%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"47",0.0888,4.5886,0.9807,0.0405,0.9,"50%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"48",0.2764,4.3442,0.9364,0.0715,0.8,"50%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"49",0.5062,4.1674,0.8785,0.0968,0.7,"50%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"50",0.7498,4.036,0.8142,0.1178,0.6,"50%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"51",0.9953,3.9377,0.7472,0.1358,0.5,"50%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"52",1.2123,3.864,0.6863,0.1498,0.4,"50%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"53",1.3885,3.8106,0.6356,0.1603,0.3,"50%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"54",1.5147,3.7738,0.5986,0.1675,0.2,"50%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"55",1e-04,5.5509,1,3e-04,1,"0%"," Minimum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"56",0.1071,5.1431,0.9792,0.0445,0.9,"0%"," Minimum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"57",0.3304,4.8812,0.9323,0.0782,0.8,"0%"," Minimum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"58",0.6033,4.6962,0.8716,0.1057,0.7,"0%"," Minimum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"59",0.8991,4.5597,0.8028,0.129,0.6,"0%"," Minimum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"60",1.2052,4.4573,0.7296,0.1494,0.5,"0%"," Minimum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"61",1.5146,4.3807,0.6543,0.1675,0.4,"0%"," Minimum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"62",1.7912,4.3251,0.5859,0.1821,0.3,"0%"," Minimum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"63",1.9814,4.2872,0.5379,0.1915,0.2,"0%"," Minimum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"64",1e-04,5.0852,1,4e-04,1,"20%"," Minimum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"65",0.0915,4.7148,0.9806,0.0412,0.9,"20%"," Minimum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"66",0.2841,4.4734,0.9365,0.0725,0.8,"20%"," Minimum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"67",0.5209,4.3022,0.8789,0.0982,0.7,"20%"," Minimum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"68",0.777,4.1735,0.8138,0.1199,0.6,"20%"," Minimum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"69",1.0385,4.0752,0.7452,0.1387,0.5,"20%"," Minimum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"70",1.284,4.0034,0.6793,0.1542,0.4,"20%"," Minimum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"71",1.4912,3.9503,0.6225,0.1662,0.3,"20%"," Minimum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"72",1.6405,3.9153,0.581,0.1743,0.2,"20%"," Minimum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"73",1e-04,4.3897,1,3e-04,1,"50%"," Minimum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"74",0.0666,4.0755,0.9837,0.0351,0.9,"50%"," Minimum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"75",0.2073,3.865,0.9464,0.062,0.8,"50%"," Minimum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"76",0.3783,3.7106,0.8981,0.0837,0.7,"50%"," Minimum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"77",0.5594,3.5925,0.8443,0.1018,0.6,"50%"," Minimum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"78",0.7394,3.5029,0.7889,0.117,0.5,"50%"," Minimum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"79",0.8968,3.438,0.7391,0.1289,0.4,"50%"," Minimum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"80",1.0278,3.3885,0.6967,0.138,0.3,"50%"," Minimum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"81",1.1246,3.357,0.665,0.1443,0.2,"50%"," Minimum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"82",1e-04,5.5509,1,3e-04,1,"0%","Maximum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"83",0.1071,5.1431,0.9792,0.0445,0.9,"0%","Maximum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"84",0.3304,4.8812,0.9323,0.0782,0.8,"0%","Maximum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"85",0.6033,4.6962,0.8716,0.1057,0.7,"0%","Maximum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"86",0.8991,4.5597,0.8028,0.129,0.6,"0%","Maximum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"87",1.2052,4.4573,0.7296,0.1494,0.5,"0%","Maximum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"88",1.5146,4.3807,0.6543,0.1675,0.4,"0%","Maximum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"89",1.7912,4.3251,0.5859,0.1821,0.3,"0%","Maximum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"90",1.9814,4.2872,0.5379,0.1915,0.2,"0%","Maximum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
"91",1e-04,5.0795,1,4e-04,1,"20%","Maximum Missing Pattern","Four Variables with Missing","  Zero Strength (MCAR)"
