"","fmin","fminB","CFI","RMSEA","FC.Size","PercentMissing","PatternNumber","NumMissVar","Strength"
"204",1.1122,4.2102,0.7358,0.1435,0.5,"20%"," Minimum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"205",1.3883,4.1523,0.6657,0.1603,0.4,"20%"," Minimum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"206",1.6233,4.1072,0.6048,0.1734,0.3,"20%"," Minimum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"207",1.7921,4.0768,0.5604,0.1822,0.2,"20%"," Minimum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"208",1e-04,4.7946,1,2e-04,1,"50%"," Minimum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"209",0.0875,4.4591,0.9804,0.0402,0.9,"50%"," Minimum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"210",0.2713,4.2462,0.9361,0.0709,0.8,"50%"," Minimum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"211",0.4947,4.0953,0.8792,0.0957,0.7,"50%"," Minimum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"212",0.7344,3.9843,0.8157,0.1166,0.6,"50%"," Minimum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"213",0.9762,3.9048,0.75,0.1345,0.5,"50%"," Minimum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"214",1.1973,3.8454,0.6886,0.1489,0.4,"50%"," Minimum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"215",1.3816,3.803,0.6367,0.16,0.3,"50%"," Minimum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"216",1.5141,3.7727,0.5987,0.1674,0.2,"50%"," Minimum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"217",1e-04,5.5509,1,3e-04,1,"0%"," Minimum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"218",0.1071,5.1431,0.9792,0.0445,0.9,"0%"," Minimum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"219",0.3304,4.8812,0.9323,0.0782,0.8,"0%"," Minimum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"220",0.6033,4.6962,0.8716,0.1057,0.7,"0%"," Minimum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"221",0.8991,4.5597,0.8028,0.129,0.6,"0%"," Minimum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"222",1.2052,4.4573,0.7296,0.1494,0.5,"0%"," Minimum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"223",1.5146,4.3807,0.6543,0.1675,0.4,"0%"," Minimum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"224",1.7912,4.3251,0.5859,0.1821,0.3,"0%"," Minimum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"225",1.9814,4.2872,0.5379,0.1915,0.2,"0%"," Minimum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"226",1e-04,4.5891,1,3e-04,1,"20%"," Minimum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"227",0.0791,4.2775,0.9815,0.0383,0.9,"20%"," Minimum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"228",0.2446,4.0786,0.94,0.0673,0.8,"20%"," Minimum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"229",0.4468,3.9377,0.8865,0.091,0.7,"20%"," Minimum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"230",0.6616,3.8326,0.8274,0.1107,0.6,"20%"," Minimum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"231",0.8819,3.7581,0.7653,0.1278,0.5,"20%"," Minimum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"232",1.0854,3.7,0.7067,0.1418,0.4,"20%"," Minimum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"233",1.2543,3.6598,0.6573,0.1524,0.3,"20%"," Minimum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"234",1.379,3.6314,0.6203,0.1598,0.2,"20%"," Minimum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"235",1e-04,4.3111,1,2e-04,1,"50%"," Minimum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"236",0.0664,4.0157,0.9835,0.0351,0.9,"50%"," Minimum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"237",0.2057,3.8167,0.9461,0.0617,0.8,"50%"," Minimum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"238",0.3757,3.6758,0.8978,0.0834,0.7,"50%"," Minimum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"239",0.5561,3.5681,0.8441,0.1015,0.6,"50%"," Minimum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"240",0.7335,3.485,0.7895,0.1165,0.5,"50%"," Minimum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"241",0.8942,3.4282,0.7392,0.1287,0.4,"50%"," Minimum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"242",1.0257,3.3838,0.6969,0.1378,0.3,"50%"," Minimum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"243",1.1268,3.3577,0.6644,0.1444,0.2,"50%"," Minimum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"244",1e-04,5.5509,1,3e-04,1,"0%"," Minimum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"245",0.1071,5.1431,0.9792,0.0445,0.9,"0%"," Minimum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"246",0.3304,4.8812,0.9323,0.0782,0.8,"0%"," Minimum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"247",0.6033,4.6962,0.8716,0.1057,0.7,"0%"," Minimum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"248",0.8991,4.5597,0.8028,0.129,0.6,"0%"," Minimum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"249",1.2052,4.4573,0.7296,0.1494,0.5,"0%"," Minimum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"250",1.5146,4.3807,0.6543,0.1675,0.4,"0%"," Minimum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"251",1.7912,4.3251,0.5859,0.1821,0.3,"0%"," Minimum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"252",1.9814,4.2872,0.5379,0.1915,0.2,"0%"," Minimum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"253",1e-04,4.7488,1,0,1,"20%"," Minimum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"254",0.0901,4.4437,0.9797,0.0408,0.9,"20%"," Minimum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"255",0.2759,4.2628,0.9353,0.0715,0.8,"20%"," Minimum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"256",0.5025,4.1416,0.8787,0.0965,0.7,"20%"," Minimum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"257",0.7456,4.0554,0.8162,0.1175,0.6,"20%"," Minimum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"258",0.9958,3.994,0.7507,0.1358,0.5,"20%"," Minimum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"259",1.2469,3.9558,0.6848,0.152,0.4,"20%"," Minimum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"260",1.4665,3.922,0.6261,0.1648,0.3,"20%"," Minimum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"261",1.6296,3.9019,0.5824,0.1737,0.2,"20%"," Minimum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"262",1e-04,4.0563,1,2e-04,1,"50%"," Minimum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"263",0.0642,3.8126,0.9832,0.0345,0.9,"50%"," Minimum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"264",0.198,3.6625,0.9459,0.0605,0.8,"50%"," Minimum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"265",0.3588,3.5564,0.8991,0.0815,0.7,"50%"," Minimum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"266",0.5293,3.4815,0.848,0.099,0.6,"50%"," Minimum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"267",0.7019,3.4274,0.7952,0.114,0.5,"50%"," Minimum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"268",0.8638,3.3903,0.7452,0.1265,0.4,"50%"," Minimum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"269",1.0059,3.362,0.7008,0.1365,0.3,"50%"," Minimum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"270",1.1143,3.3455,0.6669,0.1436,0.2,"50%"," Minimum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"271",1e-04,5.5509,1,3e-04,1,"0%"," Minimum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"272",0.1071,5.1431,0.9792,0.0445,0.9,"0%"," Minimum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"273",0.3304,4.8812,0.9323,0.0782,0.8,"0%"," Minimum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"274",0.6033,4.6962,0.8716,0.1057,0.7,"0%"," Minimum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"275",0.8991,4.5597,0.8028,0.129,0.6,"0%"," Minimum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"276",1.2052,4.4573,0.7296,0.1494,0.5,"0%"," Minimum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"277",1.5146,4.3807,0.6543,0.1675,0.4,"0%"," Minimum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"278",1.7912,4.3251,0.5859,0.1821,0.3,"0%"," Minimum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"279",1.9814,4.2872,0.5379,0.1915,0.2,"0%"," Minimum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"280",1e-04,4.1317,1,4e-04,1,"20%"," Minimum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"281",0.07,3.9112,0.9821,0.036,0.9,"20%"," Minimum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"282",0.2157,3.7813,0.943,0.0632,0.8,"20%"," Minimum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"283",0.393,3.6926,0.8936,0.0853,0.7,"20%"," Minimum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"284",0.5826,3.6327,0.8396,0.1039,0.6,"20%"," Minimum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"285",0.7817,3.5926,0.7824,0.1203,0.5,"20%"," Minimum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"286",0.9783,3.5591,0.7251,0.1346,0.4,"20%"," Minimum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"287",1.151,3.5388,0.6748,0.146,0.3,"20%"," Minimum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"288",1.2807,3.5245,0.6366,0.154,0.2,"20%"," Minimum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"289",1e-04,3.7225,1,4e-04,1,"50%"," Minimum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"290",0.0546,3.5441,0.9846,0.0318,0.9,"50%"," Minimum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"291",0.1684,3.4327,0.951,0.0558,0.8,"50%"," Minimum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"292",0.3078,3.3601,0.9084,0.0755,0.7,"50%"," Minimum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"293",0.461,3.3035,0.8605,0.0924,0.6,"50%"," Minimum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"294",0.615,3.2624,0.8115,0.1067,0.5,"50%"," Minimum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"295",0.764,3.2378,0.7641,0.1189,0.4,"50%"," Minimum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"296",0.892,3.2169,0.7227,0.1285,0.3,"50%"," Minimum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"297",0.9917,3.2074,0.6908,0.1355,0.2,"50%"," Minimum Missing Pattern","Six Variables with Missing"," Weak Strength (MAR)"
"298",1e-04,5.5509,1,3e-04,1,"0%"," Minimum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"299",0.1071,5.1431,0.9792,0.0445,0.9,"0%"," Minimum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"300",0.3304,4.8812,0.9323,0.0782,0.8,"0%"," Minimum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"301",0.6033,4.6962,0.8716,0.1057,0.7,"0%"," Minimum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"302",0.8991,4.5597,0.8028,0.129,0.6,"0%"," Minimum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"303",1.2052,4.4573,0.7296,0.1494,0.5,"0%"," Minimum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"304",1.5146,4.3807,0.6543,0.1675,0.4,"0%"," Minimum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"305",1.7912,4.3251,0.5859,0.1821,0.3,"0%"," Minimum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"306",1.9814,4.2872,0.5379,0.1915,0.2,"0%"," Minimum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"307",1e-04,4.3601,1,1e-04,1,"20%"," Minimum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"308",0.0831,4.132,0.9799,0.0392,0.9,"20%"," Minimum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"309",0.2525,4.0119,0.9371,0.0684,0.8,"20%"," Minimum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"310",0.4566,3.9405,0.8841,0.092,0.7,"20%"," Minimum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"311",0.6738,3.8963,0.8271,0.1117,0.6,"20%"," Minimum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"312",0.8945,3.8686,0.7688,0.1287,0.5,"20%"," Minimum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"313",1.1207,3.856,0.7094,0.1441,0.4,"20%"," Minimum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"314",1.3315,3.8416,0.6534,0.157,0.3,"20%"," Minimum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"315",1.5317,3.8362,0.6007,0.1684,0.2,"20%"," Minimum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"316",1e-04,3.3398,1,3e-04,1,"50%"," Minimum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"317",0.0506,3.2401,0.9844,0.0306,0.9,"50%"," Minimum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"318",0.153,3.2002,0.9522,0.0532,0.8,"50%"," Minimum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"319",0.275,3.1803,0.9136,0.0714,0.7,"50%"," Minimum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"320",0.4043,3.1754,0.8727,0.0865,0.6,"50%"," Minimum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"321",0.536,3.1766,0.8313,0.0996,0.5,"50%"," Minimum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"322",0.6667,3.1813,0.7904,0.1111,0.4,"50%"," Minimum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"323",0.7958,3.1843,0.7501,0.1214,0.3,"50%"," Minimum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"324",0.9199,3.1908,0.7117,0.1305,0.2,"50%"," Minimum Missing Pattern","Six Variables with Missing","Strong Strength (MAR)"
"325",1e-04,5.5509,1,3e-04,1,"0%","Maximum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"326",0.1071,5.1431,0.9792,0.0445,0.9,"0%","Maximum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"327",0.3304,4.8812,0.9323,0.0782,0.8,"0%","Maximum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"328",0.6033,4.6962,0.8716,0.1057,0.7,"0%","Maximum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"329",0.8991,4.5597,0.8028,0.129,0.6,"0%","Maximum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"330",1.2052,4.4573,0.7296,0.1494,0.5,"0%","Maximum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"331",1.5146,4.3807,0.6543,0.1675,0.4,"0%","Maximum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"332",1.7912,4.3251,0.5859,0.1821,0.3,"0%","Maximum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"333",1.9814,4.2872,0.5379,0.1915,0.2,"0%","Maximum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"334",1e-04,5.0619,1,4e-04,1,"20%","Maximum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"335",0.0942,4.692,0.9799,0.0417,0.9,"20%","Maximum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"336",0.2926,4.4575,0.9344,0.0736,0.8,"20%","Maximum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"337",0.5356,4.2896,0.8752,0.0996,0.7,"20%","Maximum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"338",0.7945,4.1636,0.8092,0.1213,0.6,"20%","Maximum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"339",1.0627,4.075,0.7392,0.1403,0.5,"20%","Maximum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"340",1.3071,4.0064,0.6737,0.1556,0.4,"20%","Maximum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"341",1.509,3.9584,0.6188,0.1672,0.3,"20%","Maximum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"342",1.652,3.9221,0.5788,0.1749,0.2,"20%","Maximum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"343",1e-04,4.9204,1,0,1,"50%","Maximum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"344",0.0887,4.5569,0.9806,0.0405,0.9,"50%","Maximum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"345",0.2759,4.3181,0.9361,0.0715,0.8,"50%","Maximum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"346",0.504,4.1498,0.8786,0.0966,0.7,"50%","Maximum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"347",0.7495,4.024,0.8137,0.1178,0.6,"50%","Maximum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"348",0.9927,3.9285,0.7473,0.1356,0.5,"50%","Maximum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"349",1.2112,3.8584,0.6861,0.1498,0.4,"50%","Maximum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"350",1.3881,3.8083,0.6355,0.1603,0.3,"50%","Maximum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"351",1.5139,3.7717,0.5986,0.1674,0.2,"50%","Maximum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"352",1e-04,5.5509,1,3e-04,1,"0%","Maximum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"353",0.1071,5.1431,0.9792,0.0445,0.9,"0%","Maximum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"354",0.3304,4.8812,0.9323,0.0782,0.8,"0%","Maximum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"355",0.6033,4.6962,0.8716,0.1057,0.7,"0%","Maximum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"356",0.8991,4.5597,0.8028,0.129,0.6,"0%","Maximum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"357",1.2052,4.4573,0.7296,0.1494,0.5,"0%","Maximum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"358",1.5146,4.3807,0.6543,0.1675,0.4,"0%","Maximum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"359",1.7912,4.3251,0.5859,0.1821,0.3,"0%","Maximum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"360",1.9814,4.2872,0.5379,0.1915,0.2,"0%","Maximum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"361",1e-04,5.1454,1,0,1,"20%","Maximum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"362",0.0991,4.7835,0.9793,0.0428,0.9,"20%","Maximum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"363",0.3066,4.5598,0.9328,0.0753,0.8,"20%","Maximum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"364",0.5602,4.404,0.8728,0.1018,0.7,"20%","Maximum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"365",0.8333,4.2907,0.8058,0.1242,0.6,"20%","Maximum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"366",1.1149,4.2079,0.735,0.1437,0.5,"20%","Maximum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"367",1.3904,4.1491,0.6649,0.1605,0.4,"20%","Maximum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"368",1.6232,4.1046,0.6045,0.1734,0.3,"20%","Maximum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"369",1.79,4.0735,0.5606,0.1821,0.2,"20%","Maximum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"370",1e-04,4.7947,1,1e-04,1,"50%","Maximum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"371",0.0876,4.4559,0.9803,0.0403,0.9,"50%","Maximum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"372",0.2723,4.2431,0.9358,0.071,0.8,"50%","Maximum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"373",0.4971,4.0916,0.8785,0.0959,0.7,"50%","Maximum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"374",0.7383,3.9813,0.8146,0.1169,0.6,"50%","Maximum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"375",0.9808,3.9005,0.7485,0.1348,0.5,"50%","Maximum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"376",1.2005,3.8417,0.6875,0.1491,0.4,"50%","Maximum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"377",1.3825,3.7996,0.6362,0.16,0.3,"50%","Maximum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"378",1.5117,3.7681,0.5988,0.1673,0.2,"50%","Maximum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"379",1e-04,5.5509,1,3e-04,1,"0%","Maximum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"380",0.1071,5.1431,0.9792,0.0445,0.9,"0%","Maximum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"381",0.3304,4.8812,0.9323,0.0782,0.8,"0%","Maximum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"382",0.6033,4.6962,0.8716,0.1057,0.7,"0%","Maximum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"383",0.8991,4.5597,0.8028,0.129,0.6,"0%","Maximum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"384",1.2052,4.4573,0.7296,0.1494,0.5,"0%","Maximum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"385",1.5146,4.3807,0.6543,0.1675,0.4,"0%","Maximum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"386",1.7912,4.3251,0.5859,0.1821,0.3,"0%","Maximum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"387",1.9814,4.2872,0.5379,0.1915,0.2,"0%","Maximum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"388",1e-04,4.5781,1,3e-04,1,"20%","Maximum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"389",0.0803,4.2514,0.9811,0.0385,0.9,"20%","Maximum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"390",0.2488,4.0416,0.9385,0.0679,0.8,"20%","Maximum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"391",0.4555,3.8963,0.8831,0.0918,0.7,"20%","Maximum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"392",0.6712,3.7862,0.8227,0.1115,0.6,"20%","Maximum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"393",0.8866,3.7058,0.7608,0.1281,0.5,"20%","Maximum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"394",1.0755,3.6503,0.7054,0.1411,0.4,"20%","Maximum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"395",1.2289,3.6078,0.6594,0.1509,0.3,"20%","Maximum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"396",1.336,3.5762,0.6264,0.1573,0.2,"20%","Maximum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"397",0,4.2998,1,0,1,"50%","Maximum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"398",0.0678,3.9871,0.983,0.0354,0.9,"50%","Maximum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"399",0.2108,3.7785,0.9442,0.0625,0.8,"50%","Maximum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"400",0.3831,3.6311,0.8945,0.0842,0.7,"50%","Maximum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"401",0.5616,3.5194,0.8405,0.102,0.6,"50%","Maximum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"402",0.7311,3.4321,0.787,0.1163,0.5,"50%","Maximum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"403",0.8771,3.3735,0.74,0.1274,0.4,"50%","Maximum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"404",0.9917,3.3275,0.702,0.1355,0.3,"50%","Maximum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"405",1.0749,3.2956,0.6738,0.1411,0.2,"50%","Maximum Missing Pattern","Four Variables with Missing"," Weak Strength (MAR)"
"406",1e-04,5.5509,1,3e-04,1,"0%","Maximum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"407",0.1071,5.1431,0.9792,0.0445,0.9,"0%","Maximum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"408",0.3304,4.8812,0.9323,0.0782,0.8,"0%","Maximum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"409",0.6033,4.6962,0.8716,0.1057,0.7,"0%","Maximum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"410",0.8991,4.5597,0.8028,0.129,0.6,"0%","Maximum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"411",1.2052,4.4573,0.7296,0.1494,0.5,"0%","Maximum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
"412",1.5146,4.3807,0.6543,0.1675,0.4,"0%","Maximum Missing Pattern","Four Variables with Missing","Strong Strength (MAR)"
