"Missing_Mechanism","FC","RMSEA","CFI","Number_Of_Patterns"
"  MCAR",1,3e-04,1,"Maximum Missing Pattern"
"  MCAR",0.9,0.0445,0.9792,"Maximum Missing Pattern"
"  MCAR",0.8,0.0782,0.9323,"Maximum Missing Pattern"
"  MCAR",0.7,0.1057,0.8716,"Maximum Missing Pattern"
"  MCAR",0.6,0.129,0.8028,"Maximum Missing Pattern"
"  MCAR",0.5,0.1494,0.7296,"Maximum Missing Pattern"
"  MCAR",0.4,0.1675,0.6543,"Maximum Missing Pattern"
"  MCAR",0.3,0.1821,0.5859,"Maximum Missing Pattern"
"  MCAR",0.2,0.1915,0.5379,"Maximum Missing Pattern"
" Weak MAR",1,3e-04,1,"Maximum Missing Pattern"
" Weak MAR",0.9,0.0445,0.9792,"Maximum Missing Pattern"
" Weak MAR",0.8,0.0782,0.9323,"Maximum Missing Pattern"
" Weak MAR",0.7,0.1057,0.8716,"Maximum Missing Pattern"
" Weak MAR",0.6,0.129,0.8028,"Maximum Missing Pattern"
" Weak MAR",0.5,0.1494,0.7296,"Maximum Missing Pattern"
" Weak MAR",0.4,0.1675,0.6543,"Maximum Missing Pattern"
" Weak MAR",0.3,0.1821,0.5859,"Maximum Missing Pattern"
" Weak MAR",0.2,0.1915,0.5379,"Maximum Missing Pattern"
"Strong MAR",1,3e-04,1,"Maximum Missing Pattern"
"Strong MAR",0.9,0.0445,0.9792,"Maximum Missing Pattern"
"Strong MAR",0.8,0.0782,0.9323,"Maximum Missing Pattern"
"Strong MAR",0.7,0.1057,0.8716,"Maximum Missing Pattern"
"Strong MAR",0.6,0.129,0.8028,"Maximum Missing Pattern"
"Strong MAR",0.5,0.1494,0.7296,"Maximum Missing Pattern"
"Strong MAR",0.4,0.1675,0.6543,"Maximum Missing Pattern"
"Strong MAR",0.3,0.1821,0.5859,"Maximum Missing Pattern"
"Strong MAR",0.2,0.1915,0.5379,"Maximum Missing Pattern"
