"RMSEA","CFI","Number_Of_CR","Missing_Mechanism","FC"
0,1,"One Correlated Residual","  MCAR","Factor Correlation = 0"
0.0215,0.9943,"One Correlated Residual","  MCAR","Factor Correlation = 0"
0.044,0.9772,"One Correlated Residual","  MCAR","Factor Correlation = 0"
0.0674,0.9498,"One Correlated Residual","  MCAR","Factor Correlation = 0"
0.0858,0.9271,"One Correlated Residual","  MCAR","Factor Correlation = 0"
0,1,"One Correlated Residual"," Weak MAR","Factor Correlation = 0"
0.0215,0.9943,"One Correlated Residual"," Weak MAR","Factor Correlation = 0"
0.044,0.9772,"One Correlated Residual"," Weak MAR","Factor Correlation = 0"
0.0674,0.9498,"One Correlated Residual"," Weak MAR","Factor Correlation = 0"
0.0858,0.9271,"One Correlated Residual"," Weak MAR","Factor Correlation = 0"
0,1,"One Correlated Residual","Strong MAR","Factor Correlation = 0"
0.0215,0.9943,"One Correlated Residual","Strong MAR","Factor Correlation = 0"
0.044,0.9772,"One Correlated Residual","Strong MAR","Factor Correlation = 0"
0.0674,0.9498,"One Correlated Residual","Strong MAR","Factor Correlation = 0"
0.0858,0.9271,"One Correlated Residual","Strong MAR","Factor Correlation = 0"
0,1,"Two Correlated Residuals","  MCAR","Factor Correlation = 0"
0.0329,0.987,"Two Correlated Residuals","  MCAR","Factor Correlation = 0"
0.0692,0.9468,"Two Correlated Residuals","  MCAR","Factor Correlation = 0"
0.1129,0.8737,"Two Correlated Residuals","  MCAR","Factor Correlation = 0"
0.1662,0.7732,"Two Correlated Residuals","  MCAR","Factor Correlation = 0"
0,1,"Two Correlated Residuals"," Weak MAR","Factor Correlation = 0"
0.0329,0.987,"Two Correlated Residuals"," Weak MAR","Factor Correlation = 0"
0.0692,0.9468,"Two Correlated Residuals"," Weak MAR","Factor Correlation = 0"
0.1129,0.8737,"Two Correlated Residuals"," Weak MAR","Factor Correlation = 0"
0.1662,0.7732,"Two Correlated Residuals"," Weak MAR","Factor Correlation = 0"
0,1,"Two Correlated Residuals","Strong MAR","Factor Correlation = 0"
0.0329,0.987,"Two Correlated Residuals","Strong MAR","Factor Correlation = 0"
0.0692,0.9468,"Two Correlated Residuals","Strong MAR","Factor Correlation = 0"
0.1129,0.8737,"Two Correlated Residuals","Strong MAR","Factor Correlation = 0"
0.1662,0.7732,"Two Correlated Residuals","Strong MAR","Factor Correlation = 0"
